ID|Name|Location|Repository
BodDig133|Bodleian Library: Digby 133 (SC 1734)|Oxford|Bodleian Library
BodDig145|Bodleian Library: Digby 145 (SC 1746)|Oxford|Bodleian Library
BodDig147|Bodleian Library: Digby 147 (SC 1748)|Oxford|Bodleian Library
BodDig168|Bodleian Library: Digby 168 (SC 1769)|Oxford|Bodleian Library
BodDig170|Bodleian Library: Digby 170 (SC 1771)|Oxford|Bodleian Library
BodDig171|Bodleian Library: Digby 171 (SC 1772)|Oxford|Bodleian Library
BodDig172|Bodleian Library: Digby 172 (SC 1773)|Oxford|Bodleian Library
BodDig181|Bodleian Library: Digby 181 (SC 1782)|Oxford|Bodleian Library
BodDig185|Bodleian Library: Digby 185 (SC 1786)|Oxford|Bodleian Library
BodDig186|Bodleian Library: Digby 186 (SC 1787)|Oxford|Bodleian Library
BodDig196|Bodleian Library: Digby 196 (SC 1797)|Oxford|Bodleian Library
BodDig205|Bodleian Library: Digby 205 (SC 1806)|Oxford|Bodleian Library
BodDig230|Bodleian Library: Digby 230 (SC 1831)|Oxford|Bodleian Library
BodDig232|Bodleian Library: Digby 232 (SC 1833)|Oxford|Bodleian Library
BodDod10|Bodleian Library: Dodsworth 10 (SC 4152)|Oxford|Bodleian Library
BodDod50|Bodleian Library: Dodsworth 50 (SC 4192)|Oxford|Bodleian Library
BodDod55|Bodleian Library: Dodsworth 55 (SC 4197)|Oxford|Bodleian Library
BodDod95|Bodleian Library: Dodsworth 95 (SC 5036)|Oxford|Bodleian Library
BodDod116|Bodleian Library: Dodsworth 116 (SC 5057)|Oxford|Bodleian Library
BodDod147|Bodleian Library: Dodsworth 147 (SC 5088)|Oxford|Bodleian Library
BodDod160|Bodleian Library: Dodsworth 160 (SC 5101)|Oxford|Bodleian Library
BodDonC13|Bodleian Library: Don. C.13|Oxford|Bodleian Library
BodDonE120|Bodleian Library: Don. e.120 [olim Littledale, olim Pudsey]|Oxford|Bodleian Library
BodDou1|Bodleian Library: Douce 1 (SC 21575)|Oxford|Bodleian Library
